Date;Daily average temperature

2020-03-03;6.376706266084146

2020-03-04;2.9688035608308607

2020-03-05;2.5441932043724265

2020-03-06;3.714937877174299

2020-03-07;4.235545236757268

2020-03-08;3.3489855501598957

2020-03-09;3.504984433836392

2020-03-10;5.0504884211778

2020-03-11;7.219456760120917

2020-03-12;8.770771449814127

2020-03-13;5.1703204994797085

2020-03-14;0.9666577730345073

2020-03-15;0.7739111956489434

2020-03-16;5.032314049586777

2020-03-17;6.730339709075765

2020-03-18;9.105388352390545

2020-03-19;8.837117223817843

2020-03-20;6.783435175581568

2020-03-21;1.7267779330024076

2020-03-22;-1.9645357343837928

2020-03-23;-2.1047164849451883

2020-03-24;-1.4214511928017521

2020-03-25;0.3516563165365508

2020-03-26;4.0156364065218035

2020-03-27;6.906939612288583

2020-03-28;6.959980241816574

2020-03-29;4.006001712328767

2020-03-30;-1.1426001599005065

2020-03-31;-1.155480222643297

2020-04-01;0.9212285942444767

2020-04-02;4.116337130378327

2020-04-03;5.021480585388883

2020-04-04;4.296189043278166

2020-04-05;5.851747999881912

2020-04-06;9.83166356795042

2020-04-07;10.825675085565916

2020-04-08;10.387359197521759

2020-04-09;11.369517503760285

2020-04-10;7.4465678429056545

2020-04-11;6.803422971337485

2020-04-12;10.948524938723681

2020-04-13;8.425260236766746

2020-04-14;2.432660060750833

2020-04-15;5.498712640283521

2020-04-16;10.447027298457044

2020-04-17;8.485981783202067

2020-04-18;6.9974777932919405

2020-04-19;5.898935829352953

2020-04-20;5.754393053287814

2020-04-21;6.915052953217241

2020-04-22;7.963063153839315

2020-04-23;10.01222298059232

2020-04-24;12.224558015153766

2020-04-25;8.420518905753408

2020-04-26;7.774738490915058

2020-04-27;10.546192601851025

2020-04-28;13.755018259099616

2020-04-29;11.65570958920945

2020-04-30;11.450780006557181

2020-05-01;10.858604886167747

2020-05-02;10.197843994409254

2020-05-03;8.304719783326885

2020-05-04;9.146395632898031

2020-05-05;6.866639717028803

2020-05-06;6.882632967684554

2020-05-07;8.207717066532556

2020-05-08;10.945240266469282

2020-05-09;13.090124008523736

2020-05-10;16.10150876985418

2020-05-11;14.092308602182335

2020-05-12;4.52291261277198

2020-05-13;6.737128005198181

2020-05-14;6.965593692572174

2020-05-15;6.971376173795296

2020-05-16;9.627207635829663

2020-05-17;10.578161199460126

2020-05-18;12.623347243446574

2020-05-19;14.171390106818114

2020-05-20;10.852405029664395

2020-05-21;8.903686479463785

2020-05-22;9.496388193360238

2020-05-23;11.539927145090404

2020-05-24;10.616727991037207

2020-05-25;9.862621035550966

2020-05-26;10.478136950675296

2020-05-27;12.287484950424929

2020-05-28;11.894181539278446

2020-05-29;11.293850739221531

2020-05-30;10.124668519723224

2020-05-31;11.903867396773716

2020-06-01;13.081483233902489

2020-06-02;11.738843855776306

2020-06-03;11.79425453682837

2020-06-04;14.323503248670999

2020-06-05;14.764696088560886

2020-06-06;16.348967686672967

2020-06-07;17.522180211073994

2020-06-08;14.81897980934336

2020-06-09;14.18843828790081

2020-06-10;15.529179608772969

2020-06-11;17.511448463840253

2020-06-12;19.979524232992443

2020-06-13;21.321466959959572

2020-06-14;16.813612627581296

2020-06-15;15.563561997448298

2020-06-16;16.611520204117962

2020-06-17;18.356980372420736

2020-06-18;18.177778305668557

2020-06-19;17.533531073446326

2020-06-20;17.068498985801217

2020-06-21;17.218795983623703

2020-06-22;17.432193375909698

2020-06-23;15.982839780643248

2020-06-24;16.32442136673856

2020-06-25;19.493080942260008

2020-06-26;19.725642153101575

2020-06-27;20.678385790702485

2020-06-28;21.734686733094822

2020-06-29;18.349048409569264

2020-06-30;17.94872495770635

2020-07-01;20.333506948568715

2020-07-02;19.60103035357898

2020-07-03;17.830008317490496

2020-07-04;18.935798760416358

2020-07-05;20.891011675457833

2020-07-06;19.236235066864783

2020-07-07;13.656359943063876

2020-07-08;13.630502371072911

2020-07-09;15.951042850378787

2020-07-10;21.085766942001953

2020-07-11;14.573803109423213

2020-07-12;13.206585546597108

2020-07-13;13.51175051668143

2020-07-14;15.722329325573838

